isolate	Country	Race	Technology
Ptr11137	Australia	race1	Illumina
Ptr239	Australia	race1	Illumina
Ptr5213	Australia	race1	Illumina
Ptr86.124	Canada	race2	PacBio
ARCrossB10	USA	unknown	PacBio
Alg130	Algeria	race5	Illumina
T199	Tunisia	race7	Illumina
T205	Tunisia	race4	Illumina
Alg215	Algeria	race8	Illumina
Pt.1C.BFP	USA	race1	Sanger
Biotrigo9.1	Brazil	race2	PacBio
CC142	UK	race1	Illumina
DW5	USA	race5	PacBio
DW7	USA	race5	Illumina
EW306.2.1	Denmark	race1	Illumina
EW4.4	Denmark	race1	Illumina
EW7m1	Denmark	race3	Illumina
Ls13.192	Canada	race4	PacBio
M4	Australia	race1	PacBio
SN001A	Germany	race3	Illumina
SN001C	Germany	na	Illumina
SN002B	Germany	na	Illumina
V1	Australia	race1	PacBio
Ptr134	Australia	race1	ONT
Ptr90.2	Canada	race4	PacBio
SD20	USA	race4	Illumina
