PF08118	OG0016111	MDM31_MDM32	"GO:mitochondrion inheritance"	GO:0000001
PF05208	OG0015632	ALG3	"GO:mannosyltransferase activity"	GO:0000030
PF02796	OG0017410	HTH_7	"GO:DNA strand exchange activity"	GO:0000150
PF00512	OG0015606	HisKA	"GO:phosphorelay sensor kinase activity"	GO:0000155
PF00512	OG0016521	HisKA	"GO:phosphorelay sensor kinase activity"	GO:0000155
PF07730	OG0015440	HisKA_3	"GO:phosphorelay sensor kinase activity"	GO:0000155
PF00486	OG0014928	Trans_reg_C	"GO:phosphorelay signal transduction system"	GO:0000160
PF07730	OG0015440	HisKA_3	"GO:phosphorelay signal transduction system"	GO:0000160
PF01580	OG0018055	FtsK_SpoIIIE	"GO:nucleotide binding"	GO:0000166
PF01921	OG0016286	tRNA-synt_1f	"GO:nucleotide binding"	GO:0000166
PF03175	OG0015364	DNA_pol_B_2	"GO:nucleotide binding"	GO:0000166
PF04558	OG0014849	tRNA_synt_1c_R1	"GO:nucleotide binding"	GO:0000166
PF09180	OG0015286	ProRS-C_1	"GO:nucleotide binding"	GO:0000166
PF09269	OG0016620	DUF1967	"GO:nucleotide binding"	GO:0000166
PF10458	OG0017417	Val_tRNA-synt_C	"GO:nucleotide binding"	GO:0000166
PF04710	OG0016912	Pellino	"GO:protein polyubiquitination"	GO:0000209
PF01670	OG0016158	Glyco_hydro_12	"GO:polysaccharide catabolic process"	GO:0000272
PF10775	OG0016548	ATP_sub_h	"GO:mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"	GO:0000276
PF08651	OG0015015	DASH_Duo1	"GO:mitotic cell cycle"	GO:0000278
PF04446	OG0016187	Thg1	"GO:magnesium ion binding"	GO:0000287
PF04446	OG0016588	Thg1	"GO:magnesium ion binding"	GO:0000287
PF08926	OG0016675	DUF1908	"GO:magnesium ion binding"	GO:0000287
PF04938	OG0016338	SIP1	"GO:spliceosomal snRNP assembly"	GO:0000387
PF03343	OG0014948	SART-1	"GO:mRNA splicing, via spliceosome"	GO:0000398
PF04889	OG0015153	Cwf_Cwc_15	"GO:mRNA splicing, via spliceosome"	GO:0000398
PF19252	OG0014948	HIND	"GO:mRNA splicing, via spliceosome"	GO:0000398
PF19252	OG0015071	HIND	"GO:mRNA splicing, via spliceosome"	GO:0000398
PF06412	OG0017096	TraD	"GO:obsolete conjugation"	GO:0000746
PF09026	OG0014866	CENP-B_dimeris	"GO:chromosome, centromeric region"	GO:0000775
PF01101	OG0018060	HMG14_17	"GO:chromatin"	GO:0000785
PF02079	OG0014973	TP1	"GO:nucleosome"	GO:0000786
PF02079	OG0015022	TP1	"GO:nucleosome"	GO:0000786
PF02079	OG0015295	TP1	"GO:nucleosome"	GO:0000786
PF02079	OG0015746	TP1	"GO:nucleosome"	GO:0000786
PF02079	OG0016790	TP1	"GO:nucleosome"	GO:0000786
PF02079	OG0016926	TP1	"GO:nucleosome"	GO:0000786
PF02079	OG0017243	TP1	"GO:nucleosome"	GO:0000786
PF02079	OG0017965	TP1	"GO:nucleosome"	GO:0000786
PF02079	OG0018038	TP1	"GO:nucleosome"	GO:0000786
PF02079	OG0018085	TP1	"GO:nucleosome"	GO:0000786
PF15233	OG0016841	SYCE1	"GO:synaptonemal complex"	GO:0000795
PF03980	OG0016861	Nnf1	"GO:nuclear MIS12/MIND complex"	GO:0000818
PF06160	OG0014971	EzrA	"GO:septin ring assembly"	GO:0000921
PF06160	OG0015015	EzrA	"GO:septin ring assembly"	GO:0000921
PF00172	OG0015167	Zn_clus	"GO:DNA-binding transcription factor activity, RNA polymerase II-specific"	GO:0000981
PF00172	OG0015204	Zn_clus	"GO:DNA-binding transcription factor activity, RNA polymerase II-specific"	GO:0000981
PF00172	OG0015206	Zn_clus	"GO:DNA-binding transcription factor activity, RNA polymerase II-specific"	GO:0000981
PF00172	OG0016493	Zn_clus	"GO:DNA-binding transcription factor activity, RNA polymerase II-specific"	GO:0000981
PF00172	OG0016733	Zn_clus	"GO:DNA-binding transcription factor activity, RNA polymerase II-specific"	GO:0000981
PF00172	OG0017007	Zn_clus	"GO:DNA-binding transcription factor activity, RNA polymerase II-specific"	GO:0000981
PF00172	OG0017022	Zn_clus	"GO:DNA-binding transcription factor activity, RNA polymerase II-specific"	GO:0000981
PF05327	OG0017529	RRN3	"GO:RNA polymerase I general transcription initiation factor activity"	GO:0001181
PF09142	OG0015196	TruB_C	"GO:pseudouridine synthesis"	GO:0001522
PF09142	OG0016788	TruB_C	"GO:pseudouridine synthesis"	GO:0001522
PF09229	OG0016593	Aha1_N	"GO:ATPase activator activity"	GO:0001671
PF04762	OG0015196	IKI3	"GO:tRNA wobble uridine modification"	GO:0002098
PF04762	OG0016788	IKI3	"GO:tRNA wobble uridine modification"	GO:0002098
PF05625	OG0016904	PAXNEB	"GO:tRNA wobble uridine modification"	GO:0002098
PF07240	OG0016594	Turandot	"GO:immune system process"	GO:0002376
PF02367	OG0015001	TsaE	"GO:tRNA threonylcarbamoyladenosine modification"	GO:0002949
PF02367	OG0016589	TsaE	"GO:tRNA threonylcarbamoyladenosine modification"	GO:0002949
PF02367	OG0016849	TsaE	"GO:tRNA threonylcarbamoyladenosine modification"	GO:0002949
PF00098	OG0015170	zf-CCHC	"GO:nucleic acid binding"	GO:0003676
PF00098	OG0017511	zf-CCHC	"GO:nucleic acid binding"	GO:0003676
PF00270	OG0015182	DEAD	"GO:nucleic acid binding"	GO:0003676
PF00270	OG0015215	DEAD	"GO:nucleic acid binding"	GO:0003676
PF00270	OG0016725	DEAD	"GO:nucleic acid binding"	GO:0003676
PF00270	OG0017075	DEAD	"GO:nucleic acid binding"	GO:0003676
PF00270	OG0017761	DEAD	"GO:nucleic acid binding"	GO:0003676
PF00270	OG0018049	DEAD	"GO:nucleic acid binding"	GO:0003676
PF00570	OG0015727	HRDC	"GO:nucleic acid binding"	GO:0003676
PF02171	OG0015417	Piwi	"GO:nucleic acid binding"	GO:0003676
PF03184	OG0015681	DDE_1	"GO:nucleic acid binding"	GO:0003676
PF03184	OG0015707	DDE_1	"GO:nucleic acid binding"	GO:0003676
PF03184	OG0015742	DDE_1	"GO:nucleic acid binding"	GO:0003676
PF03184	OG0015761	DDE_1	"GO:nucleic acid binding"	GO:0003676
PF09005	OG0014928	DUF1897	"GO:nucleic acid binding"	GO:0003676
PF09005	OG0015087	DUF1897	"GO:nucleic acid binding"	GO:0003676
PF13456	OG0015584	RVT_3	"GO:nucleic acid binding"	GO:0003676
PF00046	OG0014850	Homeodomain	"GO:DNA binding"	GO:0003677
PF00046	OG0015014	Homeodomain	"GO:DNA binding"	GO:0003677
PF00486	OG0014928	Trans_reg_C	"GO:DNA binding"	GO:0003677
PF00633	OG0017338	HHH	"GO:DNA binding"	GO:0003677
PF01191	OG0016819	RNA_pol_Rpb5_C	"GO:DNA binding"	GO:0003677
PF01325	OG0017918	Fe_dep_repress	"GO:DNA binding"	GO:0003677
PF01580	OG0018055	FtsK_SpoIIIE	"GO:DNA binding"	GO:0003677
PF01984	OG0016927	dsDNA_bind	"GO:DNA binding"	GO:0003677
PF02079	OG0014973	TP1	"GO:DNA binding"	GO:0003677
PF02079	OG0015022	TP1	"GO:DNA binding"	GO:0003677
PF02079	OG0015295	TP1	"GO:DNA binding"	GO:0003677
PF02079	OG0015746	TP1	"GO:DNA binding"	GO:0003677
PF02079	OG0016790	TP1	"GO:DNA binding"	GO:0003677
PF02079	OG0016926	TP1	"GO:DNA binding"	GO:0003677
PF02079	OG0017243	TP1	"GO:DNA binding"	GO:0003677
PF02079	OG0017965	TP1	"GO:DNA binding"	GO:0003677
PF02079	OG0018038	TP1	"GO:DNA binding"	GO:0003677
PF02079	OG0018085	TP1	"GO:DNA binding"	GO:0003677
PF02178	OG0017534	AT_hook	"GO:DNA binding"	GO:0003677
PF02257	OG0017431	RFX_DNA_binding	"GO:DNA binding"	GO:0003677
PF02796	OG0017410	HTH_7	"GO:DNA binding"	GO:0003677
PF02892	OG0014882	zf-BED	"GO:DNA binding"	GO:0003677
PF02892	OG0014896	zf-BED	"GO:DNA binding"	GO:0003677
PF02892	OG0014897	zf-BED	"GO:DNA binding"	GO:0003677
PF02892	OG0014899	zf-BED	"GO:DNA binding"	GO:0003677
PF02892	OG0015131	zf-BED	"GO:DNA binding"	GO:0003677
PF02892	OG0015136	zf-BED	"GO:DNA binding"	GO:0003677
PF02892	OG0015138	zf-BED	"GO:DNA binding"	GO:0003677
PF02892	OG0015139	zf-BED	"GO:DNA binding"	GO:0003677
PF02892	OG0015144	zf-BED	"GO:DNA binding"	GO:0003677
PF02892	OG0015724	zf-BED	"GO:DNA binding"	GO:0003677
PF02892	OG0015743	zf-BED	"GO:DNA binding"	GO:0003677
PF02892	OG0015753	zf-BED	"GO:DNA binding"	GO:0003677
PF02892	OG0015754	zf-BED	"GO:DNA binding"	GO:0003677
PF02892	OG0015755	zf-BED	"GO:DNA binding"	GO:0003677
PF02892	OG0015756	zf-BED	"GO:DNA binding"	GO:0003677
PF02892	OG0015759	zf-BED	"GO:DNA binding"	GO:0003677
PF02892	OG0015760	zf-BED	"GO:DNA binding"	GO:0003677
PF02892	OG0015762	zf-BED	"GO:DNA binding"	GO:0003677
PF02892	OG0015769	zf-BED	"GO:DNA binding"	GO:0003677
PF02892	OG0015780	zf-BED	"GO:DNA binding"	GO:0003677
PF02892	OG0018104	zf-BED	"GO:DNA binding"	GO:0003677
PF02892	OG0018109	zf-BED	"GO:DNA binding"	GO:0003677
PF02892	OG0018123	zf-BED	"GO:DNA binding"	GO:0003677
PF03175	OG0015364	DNA_pol_B_2	"GO:DNA binding"	GO:0003677
PF04082	OG0015168	Fungal_trans	"GO:DNA binding"	GO:0003677
PF04082	OG0015204	Fungal_trans	"GO:DNA binding"	GO:0003677
PF04082	OG0016733	Fungal_trans	"GO:DNA binding"	GO:0003677
PF04218	OG0016103	CENP-B_N	"GO:DNA binding"	GO:0003677
PF04689	OG0015370	S1FA	"GO:DNA binding"	GO:0003677
PF04851	OG0015149	ResIII	"GO:DNA binding"	GO:0003677
PF04851	OG0017761	ResIII	"GO:DNA binding"	GO:0003677
PF04997	OG0015617	RNA_pol_Rpb1_1	"GO:DNA binding"	GO:0003677
PF04998	OG0017230	RNA_pol_Rpb1_5	"GO:DNA binding"	GO:0003677
PF05132	OG0016044	RNA_pol_Rpc4	"GO:DNA binding"	GO:0003677
PF05225	OG0015371	HTH_psq	"GO:DNA binding"	GO:0003677
PF05225	OG0015450	HTH_psq	"GO:DNA binding"	GO:0003677
PF05225	OG0015658	HTH_psq	"GO:DNA binding"	GO:0003677
PF05225	OG0017410	HTH_psq	"GO:DNA binding"	GO:0003677
PF05920	OG0014850	Homeobox_KN	"GO:DNA binding"	GO:0003677
PF05920	OG0015014	Homeobox_KN	"GO:DNA binding"	GO:0003677
PF07382	OG0017069	HC2	"GO:DNA binding"	GO:0003677
PF09026	OG0014866	CENP-B_dimeris	"GO:DNA binding"	GO:0003677
PF09111	OG0015153	SLIDE	"GO:DNA binding"	GO:0003677
PF09339	OG0017783	HTH_IclR	"GO:DNA binding"	GO:0003677
PF09573	OG0015087	RE_TaqI	"GO:DNA binding"	GO:0003677
PF10073	OG0016861	DUF2312	"GO:DNA binding"	GO:0003677
PF12619	OG0016616	MCM2_N	"GO:DNA binding"	GO:0003677
PF13922	OG0017240	PHD_3	"GO:DNA binding"	GO:0003677
PF14372	OG0014903	DUF4413	"GO:DNA binding"	GO:0003677
PF14372	OG0015101	DUF4413	"GO:DNA binding"	GO:0003677
PF14372	OG0015118	DUF4413	"GO:DNA binding"	GO:0003677
PF14372	OG0015183	DUF4413	"GO:DNA binding"	GO:0003677
PF14372	OG0016964	DUF4413	"GO:DNA binding"	GO:0003677
PF14372	OG0018101	DUF4413	"GO:DNA binding"	GO:0003677
PF15077	OG0014981	MAJIN	"GO:DNA binding"	GO:0003677
PF16326	OG0014938	ABC_tran_CTD	"GO:DNA binding"	GO:0003677
PF16326	OG0016557	ABC_tran_CTD	"GO:DNA binding"	GO:0003677
PF18024	OG0015380	HTH_50	"GO:DNA binding"	GO:0003677
PF00772	OG0015408	DnaB	"GO:DNA helicase activity"	GO:0003678
PF06047	OG0015691	Nkap_C	"GO:chromatin binding"	GO:0003682
PF09026	OG0014866	CENP-B_dimeris	"GO:chromatin binding"	GO:0003682
PF07352	OG0014921	Phage_Mu_Gam	"GO:double-stranded DNA binding"	GO:0003690
PF00126	OG0015380	HTH_1	"GO:DNA-binding transcription factor activity"	GO:0003700
PF00126	OG0018082	HTH_1	"GO:DNA-binding transcription factor activity"	GO:0003700
PF00170	OG0015704	bZIP_1	"GO:DNA-binding transcription factor activity"	GO:0003700
PF00170	OG0016861	bZIP_1	"GO:DNA-binding transcription factor activity"	GO:0003700
PF00392	OG0015371	GntR	"GO:DNA-binding transcription factor activity"	GO:0003700
PF00424	OG0015606	REV	"GO:DNA-binding transcription factor activity"	GO:0003700
PF01371	OG0017410	Trp_repressor	"GO:DNA-binding transcription factor activity"	GO:0003700
PF07716	OG0015704	bZIP_2	"GO:DNA-binding transcription factor activity"	GO:0003700
PF12802	OG0017918	MarR_2	"GO:DNA-binding transcription factor activity"	GO:0003700
