PF08118	OG0002900	MDM31_MDM32	"GO:mitochondrion inheritance"	GO:0000001
PF06420	OG0003328	Mgm101p	"GO:mitochondrial genome maintenance"	GO:0000002
PF12829	OG0004518	Mhr1	"GO:mitochondrial genome maintenance"	GO:0000002
PF04188	OG0002801	Mannosyl_trans2	"GO:alpha-1,6-mannosyltransferase activity"	GO:0000009
PF01834	OG0014452	XRCC1_N	"GO:single strand break repair"	GO:0000012
PF01793	OG0004468	Glyco_transf_15	"GO:mannosyltransferase activity"	GO:0000030
PF01793	OG0006388	Glyco_transf_15	"GO:mannosyltransferase activity"	GO:0000030
PF01793	OG0007068	Glyco_transf_15	"GO:mannosyltransferase activity"	GO:0000030
PF01793	OG0009688	Glyco_transf_15	"GO:mannosyltransferase activity"	GO:0000030
PF02366	OG0003422	PMT	"GO:mannosyltransferase activity"	GO:0000030
PF02366	OG0003959	PMT	"GO:mannosyltransferase activity"	GO:0000030
PF02366	OG0005071	PMT	"GO:mannosyltransferase activity"	GO:0000030
PF02366	OG0007261	PMT	"GO:mannosyltransferase activity"	GO:0000030
PF02366	OG0014315	PMT	"GO:mannosyltransferase activity"	GO:0000030
PF05208	OG0008912	ALG3	"GO:mannosyltransferase activity"	GO:0000030
PF04110	OG0009259	APG12	"GO:autophagosome assembly"	GO:0000045
PF04110	OG0010144	APG12	"GO:autophagosome assembly"	GO:0000045
PF01409	OG0001756	tRNA-synt_2d	"GO:tRNA binding"	GO:0000049
PF01409	OG0002586	tRNA-synt_2d	"GO:tRNA binding"	GO:0000049
PF01409	OG0004553	tRNA-synt_2d	"GO:tRNA binding"	GO:0000049
PF01409	OG0004863	tRNA-synt_2d	"GO:tRNA binding"	GO:0000049
PF01409	OG0007212	tRNA-synt_2d	"GO:tRNA binding"	GO:0000049
PF01409	OG0007293	tRNA-synt_2d	"GO:tRNA binding"	GO:0000049
PF01409	OG0007513	tRNA-synt_2d	"GO:tRNA binding"	GO:0000049
PF01409	OG0010408	tRNA-synt_2d	"GO:tRNA binding"	GO:0000049
PF01409	OG0012782	tRNA-synt_2d	"GO:tRNA binding"	GO:0000049
PF01588	OG0006382	tRNA_bind	"GO:tRNA binding"	GO:0000049
PF10288	OG0001291	CTU2	"GO:tRNA binding"	GO:0000049
PF00887	OG0004248	ACBP	"GO:fatty-acyl-CoA binding"	GO:0000062
PF00887	OG0010392	ACBP	"GO:fatty-acyl-CoA binding"	GO:0000062
PF08641	OG0011046	Mis14	"GO:mitotic sister chromatid segregation"	GO:0000070
PF02144	OG0007552	Rad1	"GO:DNA damage checkpoint signaling"	GO:0000077
PF04005	OG0003951	Hus1	"GO:DNA damage checkpoint signaling"	GO:0000077
PF04005	OG0009410	Hus1	"GO:DNA damage checkpoint signaling"	GO:0000077
PF04005	OG0010356	Hus1	"GO:DNA damage checkpoint signaling"	GO:0000077
PF04005	OG0012968	Hus1	"GO:DNA damage checkpoint signaling"	GO:0000077
PF04139	OG0009147	Rad9	"GO:DNA damage checkpoint signaling"	GO:0000077
PF04139	OG0009410	Rad9	"GO:DNA damage checkpoint signaling"	GO:0000077
PF09798	OG0007810	LCD1	"GO:DNA damage checkpoint signaling"	GO:0000077
PF08613	OG0001171	Cyclin	"GO:regulation of cyclin-dependent protein serine/threonine kinase activity"	GO:0000079
PF08613	OG0002967	Cyclin	"GO:regulation of cyclin-dependent protein serine/threonine kinase activity"	GO:0000079
PF08613	OG0004022	Cyclin	"GO:regulation of cyclin-dependent protein serine/threonine kinase activity"	GO:0000079
PF08613	OG0005191	Cyclin	"GO:regulation of cyclin-dependent protein serine/threonine kinase activity"	GO:0000079
PF08613	OG0005673	Cyclin	"GO:regulation of cyclin-dependent protein serine/threonine kinase activity"	GO:0000079
PF08613	OG0006107	Cyclin	"GO:regulation of cyclin-dependent protein serine/threonine kinase activity"	GO:0000079
PF08613	OG0008675	Cyclin	"GO:regulation of cyclin-dependent protein serine/threonine kinase activity"	GO:0000079
PF08613	OG0010733	Cyclin	"GO:regulation of cyclin-dependent protein serine/threonine kinase activity"	GO:0000079
PF08613	OG0010901	Cyclin	"GO:regulation of cyclin-dependent protein serine/threonine kinase activity"	GO:0000079
PF08613	OG0012839	Cyclin	"GO:regulation of cyclin-dependent protein serine/threonine kinase activity"	GO:0000079
PF00475	OG0001307	IGPD	"GO:histidine biosynthetic process"	GO:0000105
PF00977	OG0000610	His_biosynth	"GO:histidine biosynthetic process"	GO:0000105
PF00977	OG0001329	His_biosynth	"GO:histidine biosynthetic process"	GO:0000105
PF00977	OG0002540	His_biosynth	"GO:histidine biosynthetic process"	GO:0000105
PF00977	OG0002575	His_biosynth	"GO:histidine biosynthetic process"	GO:0000105
PF00977	OG0003501	His_biosynth	"GO:histidine biosynthetic process"	GO:0000105
PF00977	OG0003599	His_biosynth	"GO:histidine biosynthetic process"	GO:0000105
PF00977	OG0003964	His_biosynth	"GO:histidine biosynthetic process"	GO:0000105
PF00977	OG0004511	His_biosynth	"GO:histidine biosynthetic process"	GO:0000105
PF00977	OG0005465	His_biosynth	"GO:histidine biosynthetic process"	GO:0000105
PF00977	OG0007674	His_biosynth	"GO:histidine biosynthetic process"	GO:0000105
PF00977	OG0008214	His_biosynth	"GO:histidine biosynthetic process"	GO:0000105
PF01502	OG0007502	PRA-CH	"GO:histidine biosynthetic process"	GO:0000105
PF01634	OG0003022	HisG	"GO:histidine biosynthetic process"	GO:0000105
PF08029	OG0003022	HisG_C	"GO:histidine biosynthetic process"	GO:0000105
PF14929	OG0002603	TAF1_subA	"GO:RNA polymerase I transcription regulator complex"	GO:0000120
PF14929	OG0009793	TAF1_subA	"GO:RNA polymerase I transcription regulator complex"	GO:0000120
PF09030	OG0009043	Creb_binding	"GO:histone acetyltransferase complex"	GO:0000123
PF09340	OG0004744	NuA4	"GO:histone acetyltransferase complex"	GO:0000123
PF10163	OG0007429	EnY2	"GO:SAGA complex"	GO:0000124
PF10163	OG0014493	EnY2	"GO:SAGA complex"	GO:0000124
PF12090	OG0001778	Spt20	"GO:SAGA complex"	GO:0000124
PF12090	OG0010230	Spt20	"GO:SAGA complex"	GO:0000124
PF04142	OG0001856	Nuc_sug_transp	"GO:Golgi membrane"	GO:0000139
PF04142	OG0002008	Nuc_sug_transp	"GO:Golgi membrane"	GO:0000139
PF04142	OG0003900	Nuc_sug_transp	"GO:Golgi membrane"	GO:0000139
PF04142	OG0004369	Nuc_sug_transp	"GO:Golgi membrane"	GO:0000139
PF04142	OG0005068	Nuc_sug_transp	"GO:Golgi membrane"	GO:0000139
PF04142	OG0005069	Nuc_sug_transp	"GO:Golgi membrane"	GO:0000139
PF04142	OG0005969	Nuc_sug_transp	"GO:Golgi membrane"	GO:0000139
PF04142	OG0009554	Nuc_sug_transp	"GO:Golgi membrane"	GO:0000139
PF04142	OG0010862	Nuc_sug_transp	"GO:Golgi membrane"	GO:0000139
PF04869	OG0004174	Uso1_p115_head	"GO:Golgi membrane"	GO:0000139
PF04869	OG0006056	Uso1_p115_head	"GO:Golgi membrane"	GO:0000139
PF03081	OG0000520	Exo70	"GO:exocyst"	GO:0000145
PF03081	OG0007758	Exo70	"GO:exocyst"	GO:0000145
PF03081	OG0010233	Exo70	"GO:exocyst"	GO:0000145
PF04048	OG0002529	Sec8_exocyst	"GO:exocyst"	GO:0000145
PF04048	OG0003536	Sec8_exocyst	"GO:exocyst"	GO:0000145
PF04048	OG0004920	Sec8_exocyst	"GO:exocyst"	GO:0000145
