Gene	Length	Isolate
86-124-asm_00035	121	86-124
86-124-asm_00049	290	86-124
86-124-asm_00072	75	86-124
86-124-asm_00075	167	86-124
86-124-asm_00112	565	86-124
86-124-asm_00114	35	86-124
86-124-asm_00130	234	86-124
86-124-asm_00144	215	86-124
86-124-asm_00146	92	86-124
86-124-asm_00151	399	86-124
86-124-asm_00194	109	86-124
86-124-asm_00213	175	86-124
86-124-asm_00215	199	86-124
86-124-asm_00232	496	86-124
86-124-asm_00238	208	86-124
86-124-asm_00292	158	86-124
86-124-asm_00293	252	86-124
86-124-asm_00368	164	86-124
86-124-asm_00433	154	86-124
86-124-asm_00449	237	86-124
86-124-asm_00451	235	86-124
86-124-asm_00527	317	86-124
86-124-asm_00531	367	86-124
86-124-asm_00568	228	86-124
86-124-asm_00595	172	86-124
86-124-asm_00596	185	86-124
86-124-asm_00730	136	86-124
86-124-asm_00731	128	86-124
86-124-asm_00773	385	86-124
86-124-asm_00776	99	86-124
86-124-asm_00796	258	86-124
86-124-asm_00928	353	86-124
86-124-asm_00961	330	86-124
86-124-asm_00971	258	86-124
86-124-asm_00985	183	86-124
86-124-asm_01053	267	86-124
86-124-asm_01195	146	86-124
86-124-asm_01247	123	86-124
86-124-asm_01307	291	86-124
86-124-asm_01362	262	86-124
86-124-asm_01430	171	86-124
86-124-asm_01473	241	86-124
86-124-asm_01554	108	86-124
86-124-asm_01643	135	86-124
86-124-asm_01664	191	86-124
86-124-asm_01727	278	86-124
86-124-asm_01779	206	86-124
86-124-asm_01837	120	86-124
86-124-asm_01892	453	86-124
86-124-asm_01912	104	86-124
86-124-asm_01913	86	86-124
86-124-asm_01953	212	86-124
86-124-asm_02017	162	86-124
86-124-asm_02050	394	86-124
86-124-asm_02092	322	86-124
86-124-asm_02142	199	86-124
86-124-asm_02219	153	86-124
86-124-asm_02220	93	86-124
86-124-asm_02228	166	86-124
86-124-asm_02234	313	86-124
86-124-asm_02257	138	86-124
86-124-asm_02323	148	86-124
86-124-asm_02498	510	86-124
86-124-asm_02519	72	86-124
86-124-asm_02554	310	86-124
86-124-asm_02622	418	86-124
86-124-asm_02672	145	86-124
86-124-asm_02764	273	86-124
86-124-asm_02784	172	86-124
86-124-asm_02815	420	86-124
86-124-asm_02852	203	86-124
86-124-asm_02890	282	86-124
86-124-asm_03026	98	86-124
86-124-asm_03081	256	86-124
86-124-asm_03117	95	86-124
86-124-asm_03238	222	86-124
86-124-asm_03253	357	86-124
86-124-asm_03267	295	86-124
86-124-asm_03314	245	86-124
86-124-asm_03327	369	86-124
86-124-asm_03366	236	86-124
86-124-asm_03430	332	86-124
86-124-asm_03451	107	86-124
86-124-asm_03469	42	86-124
86-124-asm_03480	114	86-124
86-124-asm_03501	187	86-124
86-124-asm_03578	315	86-124
86-124-asm_03607	104	86-124
86-124-asm_03636	192	86-124
86-124-asm_03653	128	86-124
86-124-asm_03679	64	86-124
86-124-asm_03755	131	86-124
86-124-asm_03784	195	86-124
86-124-asm_03817	219	86-124
86-124-asm_03841	97	86-124
86-124-asm_03902	229	86-124
86-124-asm_03911	445	86-124
86-124-asm_03990	314	86-124
86-124-asm_04035	219	86-124
86-124-asm_04073	154	86-124
86-124-asm_04157	378	86-124
86-124-asm_04202	309	86-124
86-124-asm_04238	85	86-124
86-124-asm_04271	326	86-124
86-124-asm_04284	144	86-124
86-124-asm_04295	413	86-124
86-124-asm_04310	188	86-124
86-124-asm_04313	247	86-124
86-124-asm_04428	57	86-124
86-124-asm_04490	286	86-124
86-124-asm_04516	331	86-124
